id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
277305929,Đầm suông nữ vải Linen rút eo cổ V tay ngắn da218,320000,320000,0,0.0,0,0,ARCTIC HUNTER,Thời trang nữ,dam-suong-nu-vai-linen-rut-eo-co-v-tay-ngan-da218-p277305929
275767409,BỘ 12 CỜ LÊ VÒNG MIỆNG 6-24MM/6-32MM INGCO - HÀNG CHÍNH HÃNG,610000,610000,0,0.0,0,0,iNGCO,Root,bo-12-co-le-vong-mieng-6-24mm-6-32mm-ingco-hang-chinh-hang-p275767409
12276970,Bàn Phím Cơ Có Dây DareU EK87 LED Tenkeyless - Hàng Chính Hãng,509000,509000,0,4.8,15,51,DareU,Thiết Bị Số - Phụ Kiện Số,ban-phim-co-co-day-dareu-ek87-led-tenkeyless-hang-chinh-hang-p12276970
99324795,CƠM GẠO LỨT RONG BIỂN GIÒN THƠM - HŨ 250G HIỆU SK FOOD,45000,50000,10,4.5,4,49,SK FOOD,Các loại rong biển ăn liền,com-gao-lut-rong-bien-gion-thom-hu-250g-hieu-sk-food-p99324795
272413292,Ốp lưng trong suốt GOR dành cho iPhone 15 Pro Max / iPhone 15 Pro / iPhone 15 Plus / iPhone 15 - HÀNG CHÍNH HÃNG,69000,69000,0,5.0,2,21,Gor,Thiết Bị Số - Phụ Kiện Số,op-lung-trong-suot-gor-danh-cho-iphone-15-pro-max-iphone-15-pro-iphone-15-plus-iphone-15-hang-chinh-hang-p272413292
61274272,Áo kiểu cổ trụ xếp ly sang trọng,185000,185000,0,4.5,2,18,OEM,Thời trang nữ,ao-kieu-co-tru-xep-ly-sang-trong-p61274272
277232916,Ốp lưng cho Samsung S21 FE - S23 - S23 Plus - S23 Ultra - S24 - S24 Ultra - Nhẫn Một Chút - Hàng Chính Hãng,42000,60000,30,0.0,0,0,OLSG,Root,op-lung-cho-samsung-s21-fe-s23-s23-plus-s23-ultra-s24-s24-ultra-nhan-mot-chut-hang-chinh-hang-p277232916
275344801,Hạt giống Măng tây Xanh Italy VTP40,13728,13728,0,0.0,0,8,An Phát ,Hạt giống,hat-giong-mang-tay-xanh-italy-vtp40-p275344801
248541391,Veil - Vết bỏng trong veo - Tập 4,99100,119000,17,5.0,38,307,No Brand,Root,vet-bong-trong-veo-tap-4-p248541391
277880869,Áo Thun Unisex - Oversize Chất 100% Cotton 2 chiều Dày 250gsm | Nam Nữ Mặc Siêu Đẹp,168000,168000,0,5.0,1,5,	SURE FASHION S,Thời trang nữ,ao-thun-unisex-form-rong-chat-100-cotton-2-chieu-day-230gsm-mau-hot-gen-z-nam-nu-mac-sieu-dep-p277880869
132703002,"Áo len nữ, áo len dài tay cổ tim Al72",199000,199000,0,0.0,0,0,Haint Boutique,Thời trang nữ,ao-len-nu-ao-len-dai-tay-co-chu-v-al72-p132703002
595724,Sách Giáo Trình Chuẩn HSK 4 Bài Học (Tập 1),174000,228000,24,5.0,418,3346,No Brand,Sách tiếng Việt,sach-giao-trinh-chuan-hsk-4-bai-hoc-tap-1-p595724
130369125,"Cây Treo Quần Áo, Túi Xách, Mũ Thông Minh Phong Cách VINTAG Gọn Gàng Tiết Kiệm Diện Tích Nhà Cửa- Hàng Chính Hãng MINIIN",219000,219000,0,4.7,23,163,MINIIN,Nhà Cửa - Đời Sống,cay-treo-quan-ao-tui-xach-mu-thong-minh-phong-cach-vintag-gon-gang-tiet-kiem-dien-tich-nha-cua-hang-chinh-hang-miniin-p130369125
278950965,"Sim đẹp Mobifone Chọn Số đầu 090, 0909 đầu số cỗ đẹp dễ nhớ",299000,299000,0,0.0,0,0,Mobifone,SIM số,sim-dep-mobifone-chon-so-dau-090-0909-dau-so-co-dep-de-nho-p278950965
